scenario,step,total,bankroll_before,bankroll_after
HornWorld,1,2,990.00,1054.75
HornWorld,2,3,1054.75,1049.75
HornWorld,3,7,1049.75,1054.75
HornWorld,4,11,1054.75,1059.75
HornWorld,5,12,1059.75,1054.75
Big6Big8,1,6,980.00,995.00
Big6Big8,2,8,995.00,1015.00
Big6Big8,3,7,1015.00,1015.00
Default_on_win_none::Buy4_then_hit_then_7,1,4,975.00,1042.50
Default_on_win_none::Buy4_then_hit_then_7,2,7,1042.50,1042.50
Default_on_win_none::Buy6_then_hit_then_7,1,6,970.00,1029.20
Default_on_win_none::Buy6_then_hit_then_7,2,7,1029.20,1029.20
Default_on_win_none::Lay10_then_7_then_10,1,7,975.00,1016.88
Default_on_win_none::Lay10_then_7_then_10,2,10,1016.88,1011.88
Default_on_win_none::Lay8_then_7_then_8,1,7,970.00,1028.75
Default_on_win_none::Lay8_then_7_then_8,2,8,1028.75,1023.75
On_bet_ceil_floor25::Buy4_then_hit_then_7,1,4,975.00,1043.00
On_bet_ceil_floor25::Buy4_then_hit_then_7,2,7,1043.00,1043.00
On_bet_ceil_floor25::Buy6_then_hit_then_7,1,6,970.00,1029.00
On_bet_ceil_floor25::Buy6_then_hit_then_7,2,7,1029.00,1029.00
On_bet_ceil_floor25::Lay10_then_7_then_10,1,7,975.00,1015.50
On_bet_ceil_floor25::Lay10_then_7_then_10,2,10,1015.50,1010.50
On_bet_ceil_floor25::Lay8_then_7_then_8,1,7,970.00,1028.00
On_bet_ceil_floor25::Lay8_then_7_then_8,2,8,1028.00,1023.00
Legacy_unset_mode::Buy4_then_hit_then_7,1,4,975.00,1040.56
Legacy_unset_mode::Buy4_then_hit_then_7,2,7,1040.56,1040.56
Legacy_unset_mode::Buy6_then_hit_then_7,1,6,970.00,1028.99
Legacy_unset_mode::Buy6_then_hit_then_7,2,7,1028.99,1028.99
Legacy_unset_mode::Lay10_then_7_then_10,1,7,975.00,1015.28
Legacy_unset_mode::Lay10_then_7_then_10,2,10,1015.28,1010.28
Legacy_unset_mode::Lay8_then_7_then_8,1,7,970.00,1028.33
Legacy_unset_mode::Lay8_then_7_then_8,2,8,1028.33,1023.33
PutOddsAllowed,1,6,965.00,1039.00
PutOddsAllowed,2,7,1039.00,1044.00
PutOddsDisallowed,1,6,985.00,1015.00
PutOddsDisallowed,2,7,1015.00,1020.00
PutIllegalGuard,1,7,1000.00,1005.00
