scenario,step,total,bankroll_before,bankroll_after,delta
HornWorld,1,2,990.00,1054.75,64.75
HornWorld,2,3,1054.75,1049.75,-5.00
HornWorld,3,7,1049.75,1054.75,5.00
HornWorld,4,11,1054.75,1059.75,5.00
HornWorld,5,12,1059.75,1054.75,-5.00
PropsIsolated,1,2,990.00,1059.75,69.75
PropsIsolated,2,3,1059.75,1059.75,0.00
PropsIsolated,3,7,1059.75,1059.75,0.00
PropsIsolated,4,11,1059.75,1059.75,0.00
PropsIsolated,5,12,1059.75,1059.75,0.00
Big6Big8,1,6,980.00,995.00,15.00
Big6Big8,2,8,995.00,1015.00,20.00
Big6Big8,3,7,1015.00,1015.00,0.00
Default_on_win_none::Buy4_then_hit_then_7,1,4,975.00,1042.50,67.50
Default_on_win_none::Buy4_then_hit_then_7,2,7,1042.50,1042.50,0.00
Default_on_win_none::Buy6_then_hit_then_7,1,6,970.00,1029.20,59.20
Default_on_win_none::Buy6_then_hit_then_7,2,7,1029.20,1029.20,0.00
Default_on_win_none::Lay10_then_7_then_10,1,7,975.00,1016.88,41.88
Default_on_win_none::Lay10_then_7_then_10,2,10,1016.88,1011.88,-5.00
Default_on_win_none::Lay8_then_7_then_8,1,7,970.00,1028.75,58.75
Default_on_win_none::Lay8_then_7_then_8,2,8,1028.75,1023.75,-5.00
On_bet_ceil_floor25::Buy4_then_hit_then_7,1,4,975.00,1043.00,68.00
On_bet_ceil_floor25::Buy4_then_hit_then_7,2,7,1043.00,1043.00,0.00
On_bet_ceil_floor25::Buy6_then_hit_then_7,1,6,970.00,1029.00,59.00
On_bet_ceil_floor25::Buy6_then_hit_then_7,2,7,1029.00,1029.00,0.00
On_bet_ceil_floor25::Lay10_then_7_then_10,1,7,975.00,1015.50,40.50
On_bet_ceil_floor25::Lay10_then_7_then_10,2,10,1015.50,1010.50,-5.00
On_bet_ceil_floor25::Lay8_then_7_then_8,1,7,970.00,1028.00,58.00
On_bet_ceil_floor25::Lay8_then_7_then_8,2,8,1028.00,1023.00,-5.00
Legacy_unset_mode::Buy4_then_hit_then_7,1,4,975.00,1040.56,65.56
Legacy_unset_mode::Buy4_then_hit_then_7,2,7,1040.56,1040.56,0.00
Legacy_unset_mode::Buy6_then_hit_then_7,1,6,970.00,1028.99,58.99
Legacy_unset_mode::Buy6_then_hit_then_7,2,7,1028.99,1028.99,0.00
Legacy_unset_mode::Lay10_then_7_then_10,1,7,975.00,1015.28,40.28
Legacy_unset_mode::Lay10_then_7_then_10,2,10,1015.28,1010.28,-5.00
Legacy_unset_mode::Lay8_then_7_then_8,1,7,970.00,1028.33,58.33
Legacy_unset_mode::Lay8_then_7_then_8,2,8,1028.33,1023.33,-5.00
PutOddsAllowed,1,6,965.00,1039.00,74.00
PutOddsAllowed,2,7,1039.00,1044.00,5.00
PutOddsDisallowed,1,6,985.00,1015.00,30.00
PutOddsDisallowed,2,7,1015.00,1020.00,5.00
PutIllegalGuard,1,7,1000.00,1005.00,5.00
